street_marker,RequestTime,aim_marker
0,1.0,10000
1,1.0,10001
2,1.0,10002
3,1.0,10003
4,2.0,10004
5,2.0,10005
6,2.0,10006
7,2.0,10007
8,2.0,10008
9,2.0,10009
10,2.0,10010
11,2.0,10011
12,2.0,10012
13,3.0,10013
14,3.0,10014
15,3.0,10015
16,3.0,10016
17,4.0,10017
18,4.0,10018
19,4.0,10019
20,4.0,10020
21,4.0,10021
22,4.0,10022
23,4.0,10023
24,5.0,10024
25,5.0,10025
26,5.0,10026
27,5.0,10027
28,5.0,10028
29,5.0,10029
30,6.0,10030
31,6.0,10031
32,6.0,10032
33,6.0,10033
34,6.0,10034
35,7.0,10035
36,7.0,10036
37,7.0,10037
38,8.0,10038
39,8.0,10039
40,8.0,10040
41,8.0,10041
42,9.0,10042
43,9.0,10043
44,9.0,10044
45,9.0,10045
46,9.0,10046
47,9.0,10047
48,9.0,10048
49,10.0,10049
50,10.0,10050
51,10.0,10051
52,10.0,10052
53,10.0,10053
54,11.0,10054
55,11.0,10055
56,11.0,10056
57,11.0,10057
58,11.0,10058
59,11.0,10059
60,11.0,10060
61,12.0,10061
62,12.0,10062
63,12.0,10063
64,12.0,10064
65,12.0,10065
66,12.0,10066
67,13.0,10067
68,13.0,10068
69,13.0,10069
70,13.0,10070
71,13.0,10071
72,13.0,10072
73,13.0,10073
74,14.0,10074
75,14.0,10075
76,14.0,10076
77,14.0,10077
78,14.0,10078
79,14.0,10079
80,14.0,10080
81,14.0,10081
82,14.0,10082
83,15.000000000000002,10083
84,15.000000000000002,10084
85,15.000000000000002,10085
86,15.000000000000002,10086
87,15.000000000000002,10087
88,15.000000000000002,10088
89,15.000000000000002,10089
90,15.000000000000002,10090
91,15.000000000000002,10091
92,16.0,10092
93,16.0,10093
94,16.0,10094
95,16.0,10095
96,16.0,10096
97,16.0,10097
98,17.0,10098
99,17.0,10099
100,17.0,10100
101,17.0,10101
102,17.0,10102
103,17.0,10103
104,17.0,10104
105,17.0,10105
106,18.0,10106
107,18.0,10107
108,18.0,10108
109,18.0,10109
110,18.0,10110
111,19.0,10111
112,19.0,10112
113,19.0,10113
114,19.0,10114
115,19.0,10115
116,19.0,10116
117,19.0,10117
118,20.0,10118
119,20.0,10119
120,20.0,10120
121,20.0,10121
122,21.0,10122
123,21.0,10123
124,21.0,10124
125,21.0,10125
126,21.0,10126
127,22.0,10127
128,22.0,10128
129,22.0,10129
130,22.0,10130
131,22.0,10131
132,23.0,10132
133,23.0,10133
134,23.0,10134
135,23.0,10135
136,23.0,10136
137,23.0,10137
138,23.0,10138
139,24.0,10139
140,24.0,10140
141,24.0,10141
142,24.0,10142
143,24.0,10143
144,24.0,10144
145,25.0,10145
146,25.0,10146
147,25.0,10147
148,25.0,10148
149,26.0,10149
150,26.0,10150
151,26.0,10151
152,26.0,10152
153,27.0,10153
154,27.0,10154
155,27.0,10155
156,27.0,10156
157,27.0,10157
158,27.0,10158
159,28.0,10159
160,28.0,10160
161,28.0,10161
162,28.0,10162
163,28.0,10163
164,28.0,10164
165,29.000000000000004,10165
166,29.000000000000004,10166
167,29.000000000000004,10167
168,29.000000000000004,10168
169,30.000000000000004,10169
170,30.000000000000004,10170
171,31.000000000000004,10171
172,31.000000000000004,10172
173,31.000000000000004,10173
174,31.000000000000004,10174
175,31.000000000000004,10175
176,31.000000000000004,10176
177,32.0,10177
178,32.0,10178
179,32.0,10179
180,32.0,10180
181,32.0,10181
182,32.0,10182
183,32.0,10183
184,32.0,10184
185,33.0,10185
186,33.0,10186
187,33.0,10187
188,33.0,10188
189,33.0,10189
190,34.0,10190
191,34.0,10191
192,34.0,10192
193,35.0,10193
194,35.0,10194
195,35.0,10195
196,35.0,10196
197,35.0,10197
198,35.0,10198
199,35.0,10199
200,35.0,10200
201,35.0,10201
202,36.0,10202
203,36.0,10203
204,36.0,10204
205,36.0,10205
206,37.0,10206
207,37.0,10207
208,37.0,10208
209,37.0,10209
210,37.0,10210
211,37.0,10211
212,37.0,10212
213,38.0,10213
214,38.0,10214
215,38.0,10215
216,38.0,10216
217,38.0,10217
218,38.0,10218
219,38.0,10219
220,38.0,10220
221,39.0,10221
222,39.0,10222
223,39.0,10223
224,39.0,10224
225,39.0,10225
226,39.0,10226
227,39.0,10227
228,40.0,10228
229,40.0,10229
230,40.0,10230
231,40.0,10231
232,40.0,10232
233,40.0,10233
234,40.0,10234
235,41.0,10235
236,41.0,10236
237,41.0,10237
238,41.0,10238
239,42.0,10239
240,42.0,10240
241,42.0,10241
242,42.0,10242
243,42.0,10243
244,43.0,10244
245,43.0,10245
246,43.0,10246
247,43.0,10247
248,43.0,10248
249,43.0,10249
250,44.0,10250
251,44.0,10251
252,44.0,10252
253,44.0,10253
254,44.0,10254
255,44.0,10255
256,44.0,10256
257,44.0,10257
258,44.0,10258
259,44.0,10259
260,45.0,10260
261,45.0,10261
262,45.0,10262
263,45.0,10263
264,45.0,10264
265,45.0,10265
266,45.0,10266
267,45.0,10267
268,45.0,10268
269,46.0,10269
270,46.0,10270
271,46.0,10271
272,46.0,10272
273,46.0,10273
274,46.0,10274
275,46.0,10275
276,46.0,10276
277,47.0,10277
278,47.0,10278
279,47.0,10279
280,47.0,10280
281,47.0,10281
282,48.0,10282
283,48.0,10283
284,48.0,10284
285,49.0,10285
286,49.0,10286
287,49.0,10287
288,49.0,10288
289,49.0,10289
290,49.0,10290
291,49.0,10291
292,49.0,10292
293,49.0,10293
294,50.0,10294
295,50.0,10295
296,50.0,10296
297,51.0,10297
298,51.0,10298
299,51.0,10299
300,51.0,10300
301,51.0,10301
302,51.0,10302
303,51.0,10303
304,51.0,10304
305,51.0,10305
306,51.0,10306
307,52.0,10307
308,52.0,10308
309,52.0,10309
310,52.0,10310
311,52.0,10311
312,52.0,10312
313,52.0,10313
314,52.0,10314
315,52.0,10315
316,52.0,10316
317,53.0,10317
318,53.0,10318
319,53.0,10319
320,53.0,10320
321,53.0,10321
322,53.0,10322
323,53.0,10323
324,53.0,10324
325,53.0,10325
326,53.0,10326
327,53.0,10327
328,53.0,10328
329,54.0,10329
330,54.0,10330
331,54.0,10331
332,54.0,10332
333,54.0,10333
334,54.0,10334
335,54.0,10335
336,55.0,10336
337,55.0,10337
338,55.0,10338
339,55.0,10339
340,55.0,10340
341,56.0,10341
342,56.0,10342
343,56.0,10343
344,56.0,10344
345,56.0,10345
346,56.0,10346
347,56.0,10347
348,56.0,10348
349,56.0,10349
350,57.0,10350
351,57.0,10351
352,57.0,10352
353,57.0,10353
354,57.0,10354
355,57.0,10355
356,57.0,10356
357,57.0,10357
358,58.00000000000001,10358
359,58.00000000000001,10359
360,58.00000000000001,10360
361,58.00000000000001,10361
362,58.00000000000001,10362
363,59.00000000000001,10363
364,59.00000000000001,10364
365,59.00000000000001,10365
366,59.00000000000001,10366
367,59.00000000000001,10367
368,59.00000000000001,10368
369,60.00000000000001,10369
370,60.00000000000001,10370
371,60.00000000000001,10371
372,60.00000000000001,10372
373,60.00000000000001,10373
374,61.00000000000001,10374
375,61.00000000000001,10375
376,61.00000000000001,10376
377,61.00000000000001,10377
378,61.00000000000001,10378
379,61.00000000000001,10379
380,61.00000000000001,10380
381,61.00000000000001,10381
382,61.00000000000001,10382
383,61.00000000000001,10383
384,61.00000000000001,10384
385,61.00000000000001,10385
386,62.00000000000001,10386
387,62.00000000000001,10387
388,62.00000000000001,10388
389,62.00000000000001,10389
390,63.00000000000001,10390
391,63.00000000000001,10391
392,63.00000000000001,10392
393,63.00000000000001,10393
394,63.00000000000001,10394
395,63.00000000000001,10395
396,63.00000000000001,10396
397,63.00000000000001,10397
398,64.0,10398
399,64.0,10399
400,64.0,10400
401,64.0,10401
402,64.0,10402
403,64.0,10403
404,64.0,10404
405,65.0,10405
406,65.0,10406
407,66.0,10407
408,66.0,10408
409,66.0,10409
410,66.0,10410
411,66.0,10411
412,66.0,10412
413,67.0,10413
414,67.0,10414
415,67.0,10415
416,67.0,10416
417,67.0,10417
418,67.0,10418
419,68.0,10419
420,68.0,10420
421,68.0,10421
422,68.0,10422
423,68.0,10423
424,68.0,10424
425,68.0,10425
426,69.0,10426
427,69.0,10427
428,69.0,10428
429,69.0,10429
430,69.0,10430
431,69.0,10431
432,69.0,10432
433,69.0,10433
434,70.0,10434
435,70.0,10435
436,70.0,10436
437,70.0,10437
438,70.0,10438
439,70.0,10439
440,70.0,10440
441,71.0,10441
442,71.0,10442
443,71.0,10443
444,71.0,10444
445,72.0,10445
446,72.0,10446
447,72.0,10447
448,72.0,10448
449,72.0,10449
450,72.0,10450
451,72.0,10451
452,72.0,10452
453,72.0,10453
454,72.0,10454
455,73.0,10455
456,73.0,10456
457,73.0,10457
458,73.0,10458
459,73.0,10459
460,73.0,10460
461,73.0,10461
462,74.0,10462
463,74.0,10463
464,74.0,10464
465,74.0,10465
466,74.0,10466
467,74.0,10467
468,75.0,10468
469,75.0,10469
470,75.0,10470
471,75.0,10471
472,75.0,10472
473,75.0,10473
474,75.0,10474
475,75.0,10475
476,75.0,10476
477,76.0,10477
478,76.0,10478
479,76.0,10479
480,76.0,10480
481,76.0,10481
482,76.0,10482
483,77.0,10483
484,77.0,10484
485,77.0,10485
486,77.0,10486
