street_marker,RequestTime,aim_marker
0,1,10000
1,1,10001
2,1,10002
3,1,10003
4,2,10004
5,2,10005
6,2,10006
7,2,10007
8,2,10008
9,2,10009
10,2,10010
11,2,10011
12,2,10012
13,3,10013
14,3,10014
15,3,10015
16,3,10016
17,4,10017
18,4,10018
19,4,10019
20,4,10020
21,4,10021
22,4,10022
23,4,10023
24,5,10024
25,5,10025
26,5,10026
27,5,10027
28,5,10028
29,5,10029
30,6,10030
31,6,10031
32,6,10032
33,6,10033
34,6,10034
35,7,10035
36,7,10036
37,7,10037
38,8,10038
39,8,10039
40,8,10040
41,8,10041
42,9,10042
43,9,10043
44,9,10044
45,9,10045
46,9,10046
47,9,10047
48,9,10048
49,10,10049
50,10,10050
51,10,10051
52,10,10052
53,10,10053
54,11,10054
55,11,10055
56,11,10056
57,11,10057
58,11,10058
59,11,10059
60,11,10060
61,12,10061
62,12,10062
63,12,10063
64,12,10064
65,12,10065
66,12,10066
67,13,10067
68,13,10068
69,13,10069
70,13,10070
71,13,10071
72,13,10072
73,13,10073
74,14,10074
75,14,10075
76,14,10076
77,14,10077
78,14,10078
79,14,10079
80,14,10080
81,14,10081
82,14,10082
83,15,10083
84,15,10084
85,15,10085
86,15,10086
87,15,10087
88,15,10088
89,15,10089
90,15,10090
91,15,10091
92,16,10092
93,16,10093
94,16,10094
95,16,10095
96,16,10096
97,16,10097
98,17,10098
99,17,10099
100,17,10100
101,17,10101
102,17,10102
103,17,10103
104,17,10104
105,17,10105
106,18,10106
107,18,10107
108,18,10108
109,18,10109
110,18,10110
111,19,10111
112,19,10112
113,19,10113
114,19,10114
115,19,10115
116,19,10116
117,19,10117
118,20,10118
119,20,10119
120,20,10120
121,20,10121
122,21,10122
123,21,10123
124,21,10124
125,21,10125
126,21,10126
127,22,10127
128,22,10128
129,22,10129
130,22,10130
131,22,10131
132,23,10132
133,23,10133
134,23,10134
135,23,10135
136,23,10136
137,23,10137
138,23,10138
139,24,10139
140,24,10140
141,24,10141
142,24,10142
143,24,10143
144,24,10144
145,25,10145
146,25,10146
147,25,10147
148,25,10148
149,26,10149
150,26,10150
151,26,10151
152,26,10152
153,27,10153
154,27,10154
155,27,10155
156,27,10156
157,27,10157
158,27,10158
159,28,10159
160,28,10160
161,28,10161
162,28,10162
163,28,10163
164,28,10164
165,29,10165
166,29,10166
167,29,10167
168,29,10168
169,30,10169
170,30,10170
171,31,10171
172,31,10172
173,31,10173
174,31,10174
175,31,10175
176,31,10176
177,32,10177
178,32,10178
179,32,10179
180,32,10180
181,32,10181
182,32,10182
183,32,10183
184,32,10184
185,33,10185
186,33,10186
187,33,10187
188,33,10188
189,33,10189
190,34,10190
191,34,10191
192,34,10192
193,35,10193
194,35,10194
195,35,10195
196,35,10196
197,35,10197
198,35,10198
199,35,10199
200,35,10200
201,35,10201
202,36,10202
203,36,10203
204,36,10204
205,36,10205
206,37,10206
207,37,10207
208,37,10208
209,37,10209
210,37,10210
211,37,10211
212,37,10212
213,38,10213
214,38,10214
215,38,10215
216,38,10216
217,38,10217
218,38,10218
219,38,10219
220,38,10220
221,39,10221
222,39,10222
223,39,10223
224,39,10224
225,39,10225
226,39,10226
227,39,10227
228,40,10228
229,40,10229
230,40,10230
231,40,10231
232,40,10232
233,40,10233
234,40,10234
235,41,10235
236,41,10236
237,41,10237
238,41,10238
239,42,10239
240,42,10240
241,42,10241
242,42,10242
243,42,10243
244,43,10244
245,43,10245
246,43,10246
247,43,10247
248,43,10248
249,43,10249
250,44,10250
251,44,10251
252,44,10252
253,44,10253
254,44,10254
255,44,10255
256,44,10256
257,44,10257
258,44,10258
259,44,10259
260,45,10260
261,45,10261
262,45,10262
263,45,10263
